# tof, counts, bg
1.500000000000049454e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.504000000000049795e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.508000000000049567e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.512000000000049340e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.516000000000049681e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.520000000000050022e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.524000000000049795e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.528000000000049567e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.532000000000049909e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.536000000000050250e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.540000000000050022e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.544000000000049795e+02,0.000000000000000000e+00,0.000000000000000000e+00
